事件一年内频率,事件历史悠久程度,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期
1,1,2017/12/31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【万有音乐系】“等你出现”-小野丽莎2018跨年演唱会,2017/12/31
1,1,2017/09/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,宁夏shia《清名谣》弹唱会 长沙站,2017/09/17
1,1,2017/10/28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TK from 凛冽时雨[First Reflection]北京演唱会,2017/10/28
1,1,2017/09/09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Top 100DJS 15 DJ Don Diablo at CLUB UNA,2017/09/09
1,1,2017/09/24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,芬兰金属Korpiklaani中国巡演,2017/09/24
1,1,2017/12/18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Lady Gaga Inglewood 女神卡卡演唱会,2017/12/18
1,1,2017/12/29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【万有音乐系】刘瑞琦“温暖的房间”2017巡回演唱会-无锡站,2017/12/29
1,1,2017/09/15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Fido. 2017【The First Time】全国巡演 长沙站,2017/09/15
1,1,2017/09/12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,宇宙情话-王欣宇2017全国巡演 长沙站,2017/09/12
1,1,2017/09/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,黄韵与新定义乐队2017中国 巡演 长沙站,2017/09/20
