主要影响年龄层为儿童,主要影响年龄层为成年,主要影响年龄层为老年,主要影响年龄层为青年,事件一年内频率,事件历史悠久程度,事件热度,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,吉林省辽源市发布雷电黄色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,新疆维吾尔自治区阿勒泰地区发布大风蓝色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区柳州市发布暴雨橙色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河北省张家口市发布霜冻蓝色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省福州市发布高温橙色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,云南省普洱市发布暴雨蓝色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省发布高温橙色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省泉州市发布高温橙色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省肇庆市发布暴雨橙色预警,2017/09/05
1,1,1,1,0,0,1,2017/09/05,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,辽宁省沈阳市发布雷雨大风蓝色预警,2017/09/05
