场馆,开始日期,标记,标题,结束日期,网页链接,链接
津湾大剧院,2017/12/31,0,【万有音乐系】“等你出现”-小野丽莎2018跨年演唱会,2017/12/31,https://www.damai.cn/projectlist.do?mcid=1&pageindex=32,https://piao.damai.cn/130870.html
红咖俱乐部,2017/09/17,0,宁夏shia《清名谣》弹唱会 长沙站,2017/09/17,https://www.damai.cn/projectlist.do?mcid=1&pageindex=32,https://piao.damai.cn/130853.html
糖果TANGO（三层）,2017/10/28,0,TK from 凛冽时雨[First Reflection]北京演唱会,2017/10/28,https://www.damai.cn/projectlist.do?mcid=1&pageindex=32,https://piao.damai.cn/130877.html
UNA CULB,2017/09/09,0,Top 100DJS 15 DJ Don Diablo at CLUB UNA,2017/09/09,https://www.damai.cn/projectlist.do?mcid=1&pageindex=32,https://piao.damai.cn/130843.html
万代南梦宫上海文化艺术中心 未来剧场,2017/09/24,0,芬兰金属Korpiklaani中国巡演,2017/09/24,https://www.damai.cn/projectlist.do?mcid=1&pageindex=22,https://piao.damai.cn/130611.html
The Forum Los Angeles,2017/12/18,0,Lady Gaga Inglewood 女神卡卡演唱会,2017/12/18,https://www.damai.cn/projectlist.do?mcid=1&pageindex=21,https://piao.damai.cn/130796.html
无锡市人民大会堂,2017/12/29,0,【万有音乐系】刘瑞琦“温暖的房间”2017巡回演唱会-无锡站,2017/12/29,https://www.damai.cn/projectlist.do?mcid=1&pageindex=21,https://piao.damai.cn/130820.html
红咖俱乐部,2017/09/15,0,Fido. 2017【The First Time】全国巡演 长沙站,2017/09/15,https://www.damai.cn/projectlist.do?mcid=1&pageindex=20,https://piao.damai.cn/130852.html
红咖俱乐部,2017/09/12,0,宇宙情话-王欣宇2017全国巡演 长沙站,2017/09/12,https://www.damai.cn/projectlist.do?mcid=1&pageindex=20,https://piao.damai.cn/130850.html
红咖俱乐部,2017/09/20,0,黄韵与新定义乐队2017中国 巡演 长沙站,2017/09/20,https://www.damai.cn/projectlist.do?mcid=1&pageindex=20,https://piao.damai.cn/130854.html
